Australia,  Exposures (Lexis triangle)	Last modified: 29 Nov 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1921    0      1921    32796.12    34267.88    67064.00
 1921    0      1920    31256.01    32690.25    63946.26
 1921    1      1920    30780.58    32046.40    62826.98
 1921    1      1919    28838.67    30046.43    58885.10
 1921    2      1919    28682.58    29861.55    58544.13
 1921    2      1918    28443.43    29494.34    57937.77
 1921    3      1918    28361.26    29393.51    57754.76
 1921    3      1917    29122.60    30088.48    59211.08
 1921    4      1917    29062.98    30013.96    59076.93
 1921    4      1916    29344.06    30370.66    59714.72
 1921    5      1916    29288.43    30312.94    59601.37
 1921    5      1915    29931.46    30830.70    60762.16
 1921    6      1915    29881.55    30782.27    60663.82
 1921    6      1914    30504.32    31155.01    61659.33
 1921    7      1914    30460.87    31112.17    61573.04
 1921    7      1913    29718.61    30378.29    60096.90
 1921    8      1913    29687.00    30339.51    60026.51
 1921    8      1912    28861.27    29393.80    58255.07
 1921    9      1912    28834.44    29360.89    58195.33
 1921    9      1911    28084.20    28563.44    56647.64
 1921   10      1911    28060.26    28536.07    56596.33
 1921   10      1910    27180.09    27994.57    55174.66
 1921   11      1910    27158.38    27960.99    55119.37
 1921   11      1909    26354.36    27321.15    53675.50
 1921   12      1909    26334.16    27287.11    53621.27
 1921   12      1908    25977.49    26537.41    52514.90
 1921   13      1908    25955.56    26509.24    52464.80
 1921   13      1907    25584.29    25990.19    51574.48
 1921   14      1907    25560.04    25961.08    51521.12
 1921   14      1906    24610.74    25585.08    50195.82
 1921   15      1906    24585.74    25557.35    50143.09
 1921   15      1905    24109.87    25140.58    49250.44
 1921   16      1905    24082.65    25111.83    49194.47
 1921   16      1904    23444.94    23978.57    47423.50
 1921   17      1904    23413.67    23942.04    47355.70
 1921   17      1903    22769.11    23049.90    45819.00
 1921   18      1903    22734.28    23011.15    45745.42
 1921   18      1902    22893.80    23047.68    45941.48
 1921   19      1902    22857.81    23009.08    45866.90
 1921   19      1901    23051.66    23074.41    46126.07
 1921   20      1901    23011.48    23035.84    46047.32
 1921   20      1900    23375.68    23156.89    46532.57
 1921   21      1900    23332.97    23112.70    46445.67
 1921   21      1899    23103.71    22444.44    45548.15
 1921   22      1899    23064.62    22395.19    45459.82
 1921   22      1898    22704.69    21634.92    44339.61
 1921   23      1898    22660.98    21587.40    44248.37
 1921   23      1897    23085.23    21465.67    44550.90
 1921   24      1897    23035.70    21415.90    44451.60
 1921   24      1896    23488.67    21635.36    45124.03
 1921   25      1896    23437.13    21585.08    45022.21
 1921   25      1895    23619.07    22067.58    45686.65
 1921   26      1895    23563.89    22015.04    45578.93
 1921   26      1894    23771.79    22315.07    46086.87
 1921   27      1894    23713.82    22261.42    45975.23
 1921   27      1893    23878.35    22795.54    46673.89
 1921   28      1893    23815.96    22739.10    46555.06
 1921   28      1892    23928.25    23176.92    47105.17
 1921   29      1892    23865.29    23115.29    46980.58
 1921   29      1891    23557.56    23254.41    46811.97
 1921   30      1891    23494.57    23192.06    46686.63
 1921   30      1890    22820.19    23159.16    45979.36
 1921   31      1890    22764.60    23093.33    45857.93
 1921   31      1889    22474.57    23286.30    45760.87
 1921   32      1889    22417.59    23217.07    45634.66
 1921   32      1888    22163.17    23065.39    45228.56
 1921   33      1888    22094.36    22995.84    45090.20
