Chile,  Exposures (Lexis triangle)	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1992    0      1992    68167.87    71248.06   139415.94
 1992    0      1991    68371.59    71556.62   139928.21
 1992    1      1991    68654.63    71822.17   140476.80
 1992    1      1990    67190.45    70241.25   137431.70
 1992    2      1990    67340.45    70381.28   137721.73
 1992    2      1989    71140.56    74132.06   145272.62
 1992    3      1989    70371.03    73314.34   143685.37
 1992    3      1988    73832.64    77006.48   150839.13
 1992    4      1988    71776.95    74853.42   146630.37
 1992    4      1987    74758.79    78272.32   153031.11
 1992    5      1987    72711.97    76127.94   148839.91
 1992    5      1986    64396.57    66684.26   131080.82
 1992    6      1986    62939.85    65175.97   128115.82
 1992    6      1985    61766.29    63620.72   125387.01
 1992    7      1985    60325.26    62134.94   122460.20
 1992    7      1984    60973.35    63129.36   124102.71
 1992    8      1984    58715.18    60787.21   119502.39
 1992    8      1983    59988.47    61844.36   121832.83
 1992    9      1983    59860.64    61709.29   121569.93
 1992    9      1982    62053.49    63748.31   125801.80
 1992   10      1982    63474.05    65203.79   128677.84
 1992   10      1981    65073.02    67156.30   132229.32
 1992   11      1981    63110.96    65125.02   128235.98
 1992   11      1980    60198.00    62625.05   122823.05
 1992   12      1980    60721.52    63163.76   123885.28
 1992   12      1979    59468.22    61041.73   120509.95
 1992   13      1979    59306.37    60870.28   120176.64
 1992   13      1978    58037.47    59324.34   117361.81
 1992   14      1978    57612.31    58882.20   116494.51
 1992   14      1977    58128.66    60257.72   118386.38
 1992   15      1977    57934.22    60048.51   117982.73
 1992   15      1976    56366.14    57939.28   114305.42
 1992   16      1976    57106.95    58690.18   115797.13
 1992   16      1975    58503.94    60181.74   118685.68
 1992   17      1975    59968.46    61671.72   121640.18
 1992   17      1974    62541.37    64625.39   127166.77
 1992   18      1974    61563.36    63591.60   125154.96
 1992   18      1973    63138.93    64861.69   128000.62
 1992   19      1973    62344.96    64015.91   126360.86
 1992   19      1972    61082.37    60598.63   121681.00
 1992   20      1972    61074.32    60554.65   121628.96
 1992   20      1971    62368.19    61263.99   123632.18
 1992   21      1971    59220.54    58129.69   117350.23
 1992   21      1970    61244.64    60933.46   122178.10
 1992   22      1970    58862.11    58519.44   117381.55
 1992   22      1969    60222.55    59763.83   119986.39
 1992   23      1969    60410.39    59908.09   120318.48
 1992   23      1968    61134.95    59761.65   120896.60
 1992   24      1968    61757.08    60324.54   122081.62
 1992   24      1967    61964.09    60217.89   122181.99
 1992   25      1967    61945.35    60150.21   122095.57
 1992   25      1966    62839.55    60449.52   123289.07
 1992   26      1966    60830.72    58469.70   119300.43
 1992   26      1965    63682.24    61173.34   124855.58
 1992   27      1965    62086.12    59594.56   121680.68
 1992   27      1964    64951.73    62633.94   127585.67
 1992   28      1964    62006.48    59750.07   121756.55
 1992   28      1963    62680.10    60854.81   123534.91
 1992   29      1963    61663.45    59823.56   121487.01
 1992   29      1962    63905.43    61439.36   125344.80
 1992   30      1962    60781.22    58386.35   119167.57
 1992   30      1961    62723.86    59985.60   122709.46
 1992   31      1961    60163.00    57486.47   117649.47
 1992   31      1960    58973.10    56738.09   115711.19
 1992   32      1960    55485.35    53332.89   108818.25
 1992   32      1959    60770.96    57926.05   118697.01
 1992   33      1959    58218.39    55444.37   113662.76
 1992   33      1958    56404.30    55128.36   111532.66
 1992   34      1958    53417.96    52166.96   105584.91
 1992   34      1957    52576.13    50518.13   103094.25
 1992   35      1957    50686.70    48657.43    99344.13
 1992   35      1956    52625.62    49822.64   102448.26
 1992   36      1956    49303.54    46636.06    95939.60
 1992   36      1955    51173.81    48194.15    99367.95
 1992   37      1955    47104.73    44323.13    91427.86
 1992   37      1954    49316.31    46381.17    95697.48
 1992   38      1954    45614.96    42865.22    88480.19
 1992   38      1953    47648.39    45228.78    92877.17
 1992   39      1953    44207.84    41931.42    86139.25
 1992   39      1952    44866.62    42805.24    87671.86
 1992   40      1952    40852.64    38939.83    79792.47
 1992   40      1951    42595.38    39764.06    82359.44
 1992   41      1951    39687.71    37010.94    76698.65
 1992   41      1950    40260.70    39132.22    79392.92
 1992   42      1950    37696.75    36599.62    74296.37
 1992   42      1949    44473.62    42426.15    86899.76
 1992   43      1949    41058.63    39127.12    80185.75
 1992   43      1948    38522.68    36334.05    74856.72
 1992   44      1948    35690.70    33628.66    69319.37
 1992   44      1947    35796.60    33305.88    69102.48
 1992   45      1947    33659.82    31275.15    64934.97
 1992   45      1946    34108.20    31570.45    65678.65
 1992   46      1946    34054.32    31472.34    65526.66
 1992   46      1945    34454.17    33085.50    67539.68
 1992   47      1945    34397.80    32988.80    67386.60
 1992   47      1944    33869.60    32130.05    65999.65
 1992   48      1944    33813.21    32034.12    65847.32
 1992   48      1943    32432.19    30724.56    63156.75
 1992   49      1943    32367.04    30618.23    62985.27
 1992   49      1942    31024.83    28990.23    60015.06
 1992   50      1942    30954.79    28868.84    59823.63
 1992   50      1941    30525.12    27838.51    58363.62
 1992   51      1941    30451.87    27713.68    58165.55
 1992   51      1940    28062.48    27045.52    55108.00
 1992   52      1940    27979.77    26919.73    54899.50
 1992   52      1939    30025.22    28247.66    58272.88
 1992   53      1939    29940.33    28126.08    58066.41
 1992   53      1938    25824.19    23549.03    49373.23
 1992   54      1938    25742.72    23425.64    49168.36
 1992   54      1937    25340.51    22576.69    47917.19
 1992   55      1937    25256.26    22433.93    47690.19
 1992   55      1936    24395.84    21658.76    46054.59
 1992   56      1936    24300.46    21507.54    45808.00
 1992   56      1935    23401.69    21594.20    44995.89
 1992   57      1935    23299.86    21446.52    44746.38
 1992   57      1934    22669.68    20688.69    43358.37
 1992   58      1934    22563.60    20526.75    43090.36
 1992   58      1933    22622.07    20484.77    43106.84
 1992   59      1933    22510.42    20305.05    42815.46
 1992   59      1932    23154.89    19933.56    43088.45
 1992   60      1932    23039.80    19736.92    42776.71
 1992   60      1931    24115.98    19871.72    43987.70
 1992   61      1931    23990.06    19650.25    43640.31
 1992   61      1930    22005.75    19985.23    41990.97
 1992   62      1930    21844.18    19727.06    41571.24
 1992   62      1929    24730.97    21401.99    46132.97
 1992   63      1929    24556.17    21136.42    45692.60
 1992   63      1928    21977.62    18811.58    40789.20
 1992   64      1928    21794.04    18540.64    40334.67
 1992   64      1927    21246.22    18704.56    39950.78
 1992   65      1927    21062.24    18437.72    39499.96
 1992   65      1926    20050.29    17376.35    37426.64
 1992   66      1926    19865.76    17126.87    36992.63
 1992   66      1925    16988.25    14376.77    31365.02
 1992   67      1925    16799.18    14112.86    30912.03
 1992   67      1924    16157.29    13812.17    29969.46
 1992   68      1924    15963.18    13534.26    29497.43
 1992   68      1923    14735.61    12056.43    26792.04
 1992   69      1923    14527.54    11779.60    26307.14
 1992   69      1922    13720.03    11151.11    24871.14
 1992   70      1922    13504.43    10864.27    24368.70
 1992   70      1921    14225.69    11154.21    25379.91
 1992   71      1921    13995.99    10848.27    24844.27
 1992   71      1920    12479.47    10339.42    22818.89
 1992   72      1920    12235.67    10027.61    22263.28
 1992   72      1919    13706.19    10602.45    24308.63
 1992   73      1919    13456.48    10292.91    23749.39
 1992   73      1918    11743.71     8810.95    20554.66
 1992   74      1918    11480.86     8501.09    19981.95
 1992   74      1917    11509.68     8419.05    19928.74
 1992   75      1917    11221.53     8097.93    19319.46
 1992   75      1916    11125.83     8011.48    19137.31
 1992   76      1916    10827.37     7677.41    18504.77
 1992   76      1915    10127.93     7250.28    17378.22
 1992   77      1915     9820.93     6921.99    16742.91
 1992   77      1914     9362.57     6723.59    16086.16
 1992   78      1914     9038.09     6395.83    15433.91
 1992   78      1913     9197.25     6303.22    15500.46
 1992   79      1913     8866.56     5966.33    14832.89
 1992   79      1912     8125.25     5383.19    13508.44
 1992   80      1912     8381.54     5172.69    13554.23
 1992   80      1911     7830.31     4956.11    12786.43
 1992   81      1911     7498.45     4654.43    12152.87
 1992   81      1910     7060.96     4369.76    11430.72
 1992   82      1910     6720.11     4075.26    10795.36
 1992   82      1909     6188.27     3682.90     9871.17
 1992   83      1909     5856.20     3408.24     9264.44
 1992   83      1908     5388.34     3147.71     8536.04
 1992   84      1908     5071.57     2888.20     7959.77
 1992   84      1907     4717.40     2666.03     7383.42
 1992   85      1907     4416.55     2430.31     6846.85
 1992   85      1906     4166.18     2163.55     6329.73
 1992   86      1906     3877.51     1955.62     5833.14
 1992   86      1905     3507.05     1710.91     5217.96
 1992   87      1905     3236.23     1529.72     4765.95
 1992   87      1904     2866.05     1391.09     4257.14
 1992   88      1904     2623.06     1235.82     3858.88
 1992   88      1903     2380.46     1120.19     3500.66
 1992   89      1903     2159.97      988.32     3148.28
 1992   89      1902     1953.65      877.69     2831.34
 1992   90      1902     1748.35      773.43     2521.78
 1992   90      1901     1565.82      684.90     2250.72
 1992   91      1901     1380.49      594.91     1975.40
 1992   91      1900     1223.74      520.13     1743.87
 1992   92      1900     1072.95      443.42     1516.37
 1992   92      1899      894.40      353.80     1248.20
 1992   93      1899      775.87      301.25     1077.12
 1992   93      1898      648.13      225.07      873.20
 1992   94      1898      554.72      185.78      740.49
 1992   94      1897      495.82      152.35      648.16
 1992   95      1897      419.97      123.30      543.27
 1992   95      1896      357.83      113.43      471.25
 1992   96      1896      291.90       94.49      386.39
 1992   96      1895      247.32       81.55      328.87
 1992   97      1895      198.17       67.38      265.55
 1992   97      1894      170.57       45.68      216.25
 1992   98      1894      138.67       36.77      175.44
 1992   98      1893      112.10       31.89      143.99
 1992   99      1893       89.68       24.89      114.57
 1992   99      1892       74.08       22.43       96.50
 1992   100     1892       57.28       16.52       73.80
 1992   100     1891       48.76       13.64       62.40
 1992   101     1891       37.37        9.89       47.26
 1992   101     1890       31.18        9.39       40.57
 1992   102     1890       23.51        6.76       30.27
 1992   102     1889       22.68        6.60       29.28
 1992   103     1889       18.09        4.81       22.91
 1992   103     1888       14.49        4.32       18.81
 1992   104     1888       11.54        2.98       14.52
 1992   104     1887        7.81        2.93       10.73
 1992   105     1887        6.37        2.33        8.70
 1992   105     1886        4.19        2.44        6.63
 1992   106     1886        3.52        2.26        5.78
 1992   106     1885        3.15        0.82        3.97
 1992   107     1885        1.94        0.67        2.61
 1992   107     1884        3.08        0.28        3.35
 1992   108     1884        1.59        0.28        1.86
 1992   108     1883        1.62        0.50        2.12
 1992   109     1883        0.82        0.50        1.32
 1992   109     1882        0.38        0.22        0.60
 1992   110+       .        3.77        1.22        4.98
 1993    0      1993    66600.45    69792.00   136392.45
