PopName,Area,Year,YearReg,Month,Births,Access,NoteCode1,NoteCode2,NoteCode3,RefCode,LDB
CZE,1,1919,1919,1,12342,O,.,.,.,90,1
CZE,1,1919,1919,2,11669,O,.,.,.,90,1
CZE,1,1919,1919,3,11692,O,.,.,.,90,1
CZE,1,1919,1919,4,10933,O,.,.,.,90,1
CZE,1,1919,1919,5,11576,O,.,.,.,90,1
CZE,1,1919,1919,6,10959,O,.,.,.,90,1
CZE,1,1919,1919,7,12905,O,.,.,.,90,1
CZE,1,1919,1919,8,21002,O,.,.,.,90,1
CZE,1,1919,1919,9,22103,O,.,.,.,90,1
CZE,1,1919,1919,10,22770,O,.,.,.,90,1
CZE,1,1919,1919,11,21702,O,.,.,.,90,1
CZE,1,1919,1919,12,20022,O,.,.,.,90,1
CZE,1,1919,1919,TOT,189675,O,.,.,.,90,1
CZE,1,1920,1920,1,21289,O,.,.,.,90,1
CZE,1,1920,1920,2,20239,O,.,.,.,90,1
CZE,1,1920,1920,3,21563,O,.,.,.,90,1
CZE,1,1920,1920,4,20416,O,.,.,.,90,1
CZE,1,1920,1920,5,22234,O,.,.,.,90,1
CZE,1,1920,1920,6,20196,O,.,.,.,90,1
CZE,1,1920,1920,7,22036,O,.,.,.,90,1
CZE,1,1920,1920,8,20558,O,.,.,.,90,1
CZE,1,1920,1920,9,19706,O,.,.,.,90,1
CZE,1,1920,1920,10,18971,O,.,.,.,90,1
CZE,1,1920,1920,11,18454,O,.,.,.,90,1
CZE,1,1920,1920,12,19006,O,.,.,.,90,1
CZE,1,1920,1920,TOT,244668,O,.,.,.,90,1
CZE,1,1921,1921,1,21739,O,.,.,.,90,1
CZE,1,1921,1921,2,20606,O,.,.,.,90,1
CZE,1,1921,1921,3,22331,O,.,.,.,90,1
CZE,1,1921,1921,4,21576,O,.,.,.,90,1
CZE,1,1921,1921,5,22902,O,.,.,.,90,1
CZE,1,1921,1921,6,21111,O,.,.,.,90,1
CZE,1,1921,1921,7,22618,O,.,.,.,90,1
CZE,1,1921,1921,8,20971,O,.,.,.,90,1
CZE,1,1921,1921,9,20587,O,.,.,.,90,1
CZE,1,1921,1921,10,21278,O,.,.,.,90,1
CZE,1,1921,1921,11,20539,O,.,.,.,90,1
CZE,1,1921,1921,12,21023,O,.,.,.,90,1
CZE,1,1921,1921,TOT,257281,O,.,.,.,90,1
CZE,1,1922,1922,1,22730,O,.,.,.,90,1
CZE,1,1922,1922,2,20745,O,.,.,.,90,1
CZE,1,1922,1922,3,22259,O,.,.,.,90,1
CZE,1,1922,1922,4,22647,O,.,.,.,90,1
CZE,1,1922,1922,5,22439,O,.,.,.,90,1
CZE,1,1922,1922,6,21571,O,.,.,.,90,1
CZE,1,1922,1922,7,21768,O,.,.,.,90,1
CZE,1,1922,1922,8,20317,O,.,.,.,90,1
CZE,1,1922,1922,9,19312,O,.,.,.,90,1
CZE,1,1922,1922,10,18657,O,.,.,.,90,1
CZE,1,1922,1922,11,17797,O,.,.,.,90,1
CZE,1,1922,1922,12,18486,O,.,.,.,90,1
CZE,1,1922,1922,TOT,248728,O,.,.,.,90,1
CZE,1,1923,1923,1,20239,O,.,.,.,90,1
CZE,1,1923,1923,2,19296,O,.,.,.,90,1
CZE,1,1923,1923,3,21822,O,.,.,.,90,1
CZE,1,1923,1923,4,21202,O,.,.,.,90,1
CZE,1,1923,1923,5,22638,O,.,.,.,90,1
CZE,1,1923,1923,6,20577,O,.,.,.,90,1
CZE,1,1923,1923,7,21216,O,.,.,.,90,1
CZE,1,1923,1923,8,20044,O,.,.,.,90,1
CZE,1,1923,1923,9,19198,O,.,.,.,90,1
CZE,1,1923,1923,10,19077,O,.,.,.,90,1
CZE,1,1923,1923,11,17822,O,.,.,.,90,1
