PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
ESP,10,f,0,1,C,31,12,1900,31,O,189037,.,.,.,1
ESP,10,f,1,1,C,31,12,1900,31,O,218612,.,.,.,1
ESP,10,f,2,1,C,31,12,1900,31,O,221741,.,.,.,1
ESP,10,f,3,1,C,31,12,1900,31,O,220155,.,.,.,1
ESP,10,f,4,1,C,31,12,1900,31,O,220485,.,.,.,1
ESP,10,f,5,1,C,31,12,1900,31,O,214573,.,.,.,1
ESP,10,f,6,1,C,31,12,1900,31,O,215737,.,.,.,1
ESP,10,f,7,1,C,31,12,1900,31,O,211997,.,.,.,1
ESP,10,f,8,1,C,31,12,1900,31,O,211840,.,.,.,1
ESP,10,f,9,1,C,31,12,1900,31,O,193188,.,.,.,1
ESP,10,f,10,1,C,31,12,1900,31,O,211939,.,.,.,1
ESP,10,f,11,1,C,31,12,1900,31,O,183098,.,.,.,1
ESP,10,f,12,1,C,31,12,1900,31,O,213726,.,.,.,1
ESP,10,f,13,1,C,31,12,1900,31,O,188837,.,.,.,1
ESP,10,f,14,1,C,31,12,1900,31,O,174353,.,.,.,1
ESP,10,f,15,1,C,31,12,1900,31,O,163979,.,.,.,1
ESP,10,f,16,1,C,31,12,1900,31,O,164173,.,.,.,1
ESP,10,f,17,1,C,31,12,1900,31,O,151795,.,.,.,1
ESP,10,f,18,1,C,31,12,1900,31,O,174897,.,.,.,1
ESP,10,f,19,1,C,31,12,1900,31,O,149180,.,.,.,1
ESP,10,f,20,1,C,31,12,1900,31,O,190496,.,.,.,1
ESP,10,f,21,1,C,31,12,1900,31,O,133127,.,.,.,1
ESP,10,f,22,1,C,31,12,1900,31,O,171590,.,.,.,1
ESP,10,f,23,1,C,31,12,1900,31,O,155330,.,.,.,1
ESP,10,f,24,1,C,31,12,1900,31,O,169291,.,.,.,1
ESP,10,f,25,1,C,31,12,1900,31,O,166688,.,.,.,1
ESP,10,f,26,1,C,31,12,1900,31,O,159261,.,.,.,1
ESP,10,f,27,1,C,31,12,1900,31,O,136148,.,.,.,1
ESP,10,f,28,1,C,31,12,1900,31,O,161288,.,.,.,1
ESP,10,f,29,1,C,31,12,1900,31,O,112873,.,.,.,1
ESP,10,f,30,1,C,31,12,1900,31,O,213113,.,.,.,1
ESP,10,f,31,1,C,31,12,1900,31,O,88984,.,.,.,1
ESP,10,f,32,1,C,31,12,1900,31,O,125468,.,.,.,1
ESP,10,f,33,1,C,31,12,1900,31,O,112191,.,.,.,1
ESP,10,f,34,1,C,31,12,1900,31,O,125626,.,.,.,1
ESP,10,f,35,1,C,31,12,1900,31,O,123684,.,.,.,1
ESP,10,f,36,1,C,31,12,1900,31,O,134145,.,.,.,1
ESP,10,f,37,1,C,31,12,1900,31,O,101175,.,.,.,1
ESP,10,f,38,1,C,31,12,1900,31,O,129330,.,.,.,1
ESP,10,f,39,1,C,31,12,1900,31,O,95104,.,.,.,1
ESP,10,f,40,1,C,31,12,1900,31,O,221509,.,.,.,1
ESP,10,f,41,1,C,31,12,1900,31,O,76224,.,.,.,1
ESP,10,f,42,1,C,31,12,1900,31,O,110940,.,.,.,1
ESP,10,f,43,1,C,31,12,1900,31,O,86920,.,.,.,1
ESP,10,f,44,1,C,31,12,1900,31,O,105913,.,.,.,1
ESP,10,f,45,1,C,31,12,1900,31,O,114205,.,.,.,1
ESP,10,f,46,1,C,31,12,1900,31,O,104545,.,.,.,1
ESP,10,f,47,1,C,31,12,1900,31,O,83031,.,.,.,1
ESP,10,f,48,1,C,31,12,1900,31,O,112950,.,.,.,1
ESP,10,f,49,1,C,31,12,1900,31,O,76407,.,.,.,1
ESP,10,f,50,1,C,31,12,1900,31,O,200216,.,.,.,1
ESP,10,f,51,1,C,31,12,1900,31,O,60986,.,.,.,1
ESP,10,f,52,1,C,31,12,1900,31,O,85141,.,.,.,1
ESP,10,f,53,1,C,31,12,1900,31,O,65856,.,.,.,1
ESP,10,f,54,1,C,31,12,1900,31,O,87351,.,.,.,1
ESP,10,f,55,1,C,31,12,1900,31,O,80786,.,.,.,1
ESP,10,f,56,1,C,31,12,1900,31,O,84079,.,.,.,1
ESP,10,f,57,1,C,31,12,1900,31,O,60468,.,.,.,1
ESP,10,f,58,1,C,31,12,1900,31,O,80231,.,.,.,1
ESP,10,f,59,1,C,31,12,1900,31,O,52541,.,.,.,1
ESP,10,f,60,1,C,31,12,1900,31,O,167832,.,.,.,1
ESP,10,f,61,1,C,31,12,1900,31,O,41287,.,.,.,1
ESP,10,f,62,1,C,31,12,1900,31,O,54546,.,.,.,1
ESP,10,f,63,1,C,31,12,1900,31,O,45834,.,.,.,1
ESP,10,f,64,1,C,31,12,1900,31,O,54806,.,.,.,1
ESP,10,f,65,1,C,31,12,1900,31,O,53125,.,.,.,1
ESP,10,f,66,1,C,31,12,1900,31,O,47259,.,.,.,1
ESP,10,f,67,1,C,31,12,1900,31,O,35263,.,.,.,1
ESP,10,f,68,1,C,31,12,1900,31,O,42842,.,.,.,1
ESP,10,f,69,1,C,31,12,1900,31,O,26227,.,.,.,1
ESP,10,f,70,1,C,31,12,1900,31,O,79176,.,.,.,1
ESP,10,f,71,1,C,31,12,1900,31,O,18127,.,.,.,1
ESP,10,f,72,1,C,31,12,1900,31,O,24406,.,.,.,1
ESP,10,f,73,1,C,31,12,1900,31,O,18385,.,.,.,1
ESP,10,f,74,1,C,31,12,1900,31,O,20375,.,.,.,1
ESP,10,f,75,1,C,31,12,1900,31,O,21332,.,.,.,1
ESP,10,f,76,1,C,31,12,1900,31,O,18120,.,.,.,1
ESP,10,f,77,1,C,31,12,1900,31,O,12564,.,.,.,1
ESP,10,f,78,1,C,31,12,1900,31,O,15325,.,.,.,1
ESP,10,f,79,1,C,31,12,1900,31,O,8533,.,.,.,1
ESP,10,f,80,1,C,31,12,1900,31,O,27337,.,.,.,1
ESP,10,f,81,1,C,31,12,1900,31,O,5300,.,.,.,1
ESP,10,f,82,1,C,31,12,1900,31,O,6071,.,.,.,1
ESP,10,f,83,1,C,31,12,1900,31,O,4156,.,.,.,1
ESP,10,f,84,1,C,31,12,1900,31,O,5039,.,.,.,1
ESP,10,f,85,1,C,31,12,1900,31,O,4022,.,.,.,1
ESP,10,f,86,1,C,31,12,1900,31,O,3180,.,.,.,1
ESP,10,f,87,1,C,31,12,1900,31,O,2106,.,.,.,1
ESP,10,f,88,1,C,31,12,1900,31,O,2129,.,.,.,1
ESP,10,f,89,1,C,31,12,1900,31,O,1336,.,.,.,1
ESP,10,f,90,1,C,31,12,1900,31,O,2609,.,.,.,1
ESP,10,f,91,1,C,31,12,1900,31,O,431,.,.,.,1
ESP,10,f,92,1,C,31,12,1900,31,O,507,.,.,.,1
ESP,10,f,93,1,C,31,12,1900,31,O,349,.,.,.,1
ESP,10,f,94,1,C,31,12,1900,31,O,336,.,.,.,1
ESP,10,f,95,1,C,31,12,1900,31,O,341,.,.,.,1
ESP,10,f,96,1,C,31,12,1900,31,O,282,.,.,.,1
ESP,10,f,97,1,C,31,12,1900,31,O,210,.,.,.,1
ESP,10,f,98,1,C,31,12,1900,31,O,231,.,.,.,1
ESP,10,f,99,1,C,31,12,1900,31,O,174,.,.,.,1
ESP,10,f,100,1,C,31,12,1900,31,O,187,.,.,.,1
