Finland, Life tables (cohort 5x1), Total	Last modified: 14 Jun 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0      0.17678  0.15746  0.31  100000   15746   89070  4249118  42.49
  1878         1-4      0.03873  0.14162  1.57   84254   11932  308070  4160048  49.37
  1878         5-9      0.01032  0.05003  1.98   72322    3618  350676  3851978  53.26
  1878        10-14     0.00460  0.02272  2.48   68704    1561  339592  3501302  50.96
  1878        15-19     0.00492  0.02433  2.61   67143    1634  331810  3161710  47.09
  1878        20-24     0.00721  0.03544  2.53   65509    2322  321822  2829900  43.20
  1878        25-29     0.00764  0.03747  2.49   63188    2367  310002  2508078  39.69
  1878        30-34     0.00765  0.03752  2.52   60820    2282  298449  2198076  36.14
  1878        35-39     0.01028  0.05030  2.88   58539    2944  286442  1899627  32.45
  1878        40-44     0.01172  0.05660  2.01   55594    3147  268561  1613185  29.02
  1878        45-49     0.01159  0.05634  2.55   52447    2955  255000  1344624  25.64
  1878        50-54     0.01524  0.07346  2.54   49492    3636  238513  1089623  22.02
  1878        55-59     0.02042  0.09738  2.63   45857    4466  218683   851111  18.56
  1878        60-64     0.02961  0.13800  2.54   41391    5712  192923   632427  15.28
  1878        65-69     0.04086  0.18576  2.56   35679    6628  162204   439504  12.32
  1878        70-74     0.06476  0.27953  2.55   29051    8121  125392   277300   9.55
  1878        75-79     0.09908  0.39726  2.51   20931    8315   83922   151907   7.26
  1878        80-84     0.14975  0.53832  2.39   12616    6791   45352    67985   5.39
  1878        85-89     0.23250  0.70642  2.22    5824    4114   17696    22633   3.89
  1878        90-94     0.33654  0.82658  1.92    1710    1413    4200     4936   2.89
  1878        95-99     0.40331  0.89130  1.87     297     264     655      737   2.48
  1878       100-104    0.38809  0.85000  1.69      32      27      71       81   2.52
  1878       105-109    0.33246  0.66667  0.51       5       3      10       11   2.23
  1878       110+       1.48431  1.00000  0.67       2       2       1        1   0.67
  1879           0      0.17074  0.15264  0.31  100000   15264   89403  4211007  42.11
  1879         1-4      0.04293  0.15467  1.43   84736   13106  305321  4121604  48.64
  1879         5-9      0.00949  0.04609  1.89   71630    3301  347881  3816283  53.28
  1879        10-14     0.00493  0.02437  2.43   68328    1665  337355  3468403  50.76
  1879        15-19     0.00514  0.02541  2.65   66663    1694  329337  3131047  46.97
  1879        20-24     0.00730  0.03587  2.49   64970    2330  319008  2801710  43.12
  1879        25-29     0.00774  0.03796  2.48   62639    2378  307193  2482702  39.63
  1879        30-34     0.00780  0.03829  2.56   60262    2307  295670  2175509  36.10
  1879        35-39     0.01208  0.05898  2.99   57954    3418  282895  1879840  32.44
  1879        40-44     0.00969  0.04729  2.51   54536    2579  266261  1596944  29.28
  1879        45-49     0.01171  0.05694  2.58   51957    2958  252638  1330683  25.61
  1879        50-54     0.01535  0.07395  2.53   48998    3624  236044  1078046  22.00
  1879        55-59     0.02011  0.09597  2.64   45375    4355  216577   842002  18.56
  1879        60-64     0.02992  0.13940  2.55   41020    5718  191109   625425  15.25
  1879        65-69     0.04135  0.18825  2.62   35302    6646  160719   434316  12.30
  1879        70-74     0.06423  0.27738  2.54   28656    7949  123747   273597   9.55
  1879        75-79     0.09886  0.39647  2.50   20708    8210   83048   149850   7.24
  1879        80-84     0.15066  0.54060  2.39   12498    6756   44843    66802   5.35
  1879        85-89     0.23749  0.70834  2.15    5741    4067   17124    21959   3.82
  1879        90-94     0.33141  0.82264  1.94    1675    1378    4157     4835   2.89
  1879        95-99     0.43927  0.89447  1.69     297     266     605      678   2.28
  1879       100-104    0.39084  0.85714  1.73      31      27      69       73   2.34
  1879       105-109    0.99515  1.00000  1.00       4       4       4        4   1.00
  1879       110+             .        .     .       0       0       0        0      .
  1880           0      0.20065  0.17612  0.31  100000   17612   87774  4130408  41.30
