PopName,Area,Year,YearReg,Month,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
FRACNP,90,1861,1861,1,80,O,84437,.,.,.,1
FRACNP,90,1861,1861,2,80,O,84015,.,.,.,1
FRACNP,90,1861,1861,3,80,O,95039,.,.,.,1
FRACNP,90,1861,1861,4,80,O,93126,.,.,.,1
FRACNP,90,1861,1861,5,80,O,90674,.,.,.,1
FRACNP,90,1861,1861,6,80,O,79875,.,.,.,1
FRACNP,90,1861,1861,7,80,O,79326,.,.,.,1
FRACNP,90,1861,1861,8,80,O,78721,.,.,.,1
FRACNP,90,1861,1861,9,80,O,79412,.,.,.,1
FRACNP,90,1861,1861,10,80,O,80231,.,.,.,1
FRACNP,90,1861,1861,11,80,O,79885,.,.,.,1
FRACNP,90,1861,1861,12,80,O,80337,.,.,.,1
FRACNP,90,1861,1861,TOT,80,O,1005078,.,.,.,1
FRACNP,90,1862,1862,1,80,O,85881,.,.,.,1
FRACNP,90,1862,1862,2,80,O,82523,.,.,.,1
FRACNP,90,1862,1862,3,80,O,91722,.,.,.,1
FRACNP,90,1862,1862,4,80,O,85783,.,.,.,1
FRACNP,90,1862,1862,5,80,O,84160,.,.,.,1
FRACNP,90,1862,1862,6,80,O,75828,.,.,.,1
FRACNP,90,1862,1862,7,80,O,80030,.,.,.,1
FRACNP,90,1862,1862,8,80,O,80115,.,.,.,1
FRACNP,90,1862,1862,9,80,O,81738,.,.,.,1
FRACNP,90,1862,1862,10,80,O,81191,.,.,.,1
FRACNP,90,1862,1862,11,80,O,81239,.,.,.,1
FRACNP,90,1862,1862,12,80,O,84957,.,.,.,1
FRACNP,90,1862,1862,TOT,80,O,995167,.,.,.,1
FRACNP,90,1863,1863,1,80,O,89634,.,.,.,1
FRACNP,90,1863,1863,2,80,O,85573,.,.,.,1
FRACNP,90,1863,1863,3,80,O,93617,.,.,.,1
FRACNP,90,1863,1863,4,80,O,88084,.,.,.,1
FRACNP,90,1863,1863,5,80,O,85576,.,.,.,1
FRACNP,90,1863,1863,6,80,O,79136,.,.,.,1
FRACNP,90,1863,1863,7,80,O,80936,.,.,.,1
FRACNP,90,1863,1863,8,80,O,81884,.,.,.,1
FRACNP,90,1863,1863,9,80,O,79862,.,.,.,1
FRACNP,90,1863,1863,10,80,O,82305,.,.,.,1
FRACNP,90,1863,1863,11,80,O,83141,.,.,.,1
FRACNP,90,1863,1863,12,80,O,83046,.,.,.,1
FRACNP,90,1863,1863,TOT,80,O,1012794,.,.,.,1
FRACNP,90,1864,1864,1,80,O,91822,.,.,.,1
FRACNP,90,1864,1864,2,80,O,89416,.,.,.,1
FRACNP,90,1864,1864,3,80,O,92815,.,.,.,1
FRACNP,90,1864,1864,4,80,O,85462,.,.,.,1
FRACNP,90,1864,1864,5,80,O,82831,.,.,.,1
FRACNP,90,1864,1864,6,80,O,75738,.,.,.,1
FRACNP,90,1864,1864,7,80,O,81110,.,.,.,1
FRACNP,90,1864,1864,8,80,O,82519,.,.,.,1
FRACNP,90,1864,1864,9,80,O,80946,.,.,.,1
FRACNP,90,1864,1864,10,80,O,81984,.,.,.,1
FRACNP,90,1864,1864,11,80,O,79481,.,.,.,1
FRACNP,90,1864,1864,12,80,O,81756,.,.,.,1
FRACNP,90,1864,1864,TOT,80,O,1005880,.,.,.,1
FRACNP,90,1865,1865,1,80,O,89666,.,.,.,1
FRACNP,90,1865,1865,2,80,O,85200,.,.,.,1
FRACNP,90,1865,1865,3,80,O,93050,.,.,.,1
FRACNP,90,1865,1865,4,80,O,90360,.,.,.,1
FRACNP,90,1865,1865,5,80,O,85131,.,.,.,1
FRACNP,90,1865,1865,6,80,O,78302,.,.,.,1
FRACNP,90,1865,1865,7,80,O,81942,.,.,.,1
FRACNP,90,1865,1865,8,80,O,80979,.,.,.,1
FRACNP,90,1865,1865,9,80,O,81274,.,.,.,1
FRACNP,90,1865,1865,10,80,O,81803,.,.,.,1
FRACNP,90,1865,1865,11,80,O,79191,.,.,.,1
FRACNP,90,1865,1865,12,80,O,78855,.,.,.,1
FRACNP,90,1865,1865,TOT,80,O,1005753,.,.,.,1
FRACNP,90,1866,1866,1,80,O,88111,.,.,.,1
FRACNP,90,1866,1866,2,80,O,84526,.,.,.,1
FRACNP,90,1866,1866,3,80,O,93537,.,.,.,1
FRACNP,90,1866,1866,4,80,O,86969,.,.,.,1
FRACNP,90,1866,1866,5,80,O,84460,.,.,.,1
FRACNP,90,1866,1866,6,80,O,78999,.,.,.,1
FRACNP,90,1866,1866,7,80,O,80268,.,.,.,1
FRACNP,90,1866,1866,8,80,O,81016,.,.,.,1
FRACNP,90,1866,1866,9,80,O,81038,.,.,.,1
FRACNP,90,1866,1866,10,80,O,83532,.,.,.,1
FRACNP,90,1866,1866,11,80,O,82186,.,.,.,1
FRACNP,90,1866,1866,12,80,O,81616,.,.,.,1
FRACNP,90,1866,1866,TOT,80,O,1006258,.,.,.,1
FRACNP,90,1867,1867,1,80,O,88366,.,.,.,1
FRACNP,90,1867,1867,2,80,O,85034,.,.,.,1
FRACNP,90,1867,1867,3,80,O,94802,.,.,.,1
FRACNP,90,1867,1867,4,80,O,87239,.,.,.,1
FRACNP,90,1867,1867,5,80,O,86584,.,.,.,1
FRACNP,90,1867,1867,6,80,O,79003,.,.,.,1
FRACNP,90,1867,1867,7,80,O,81877,.,.,.,1
FRACNP,90,1867,1867,8,80,O,82344,.,.,.,1
FRACNP,90,1867,1867,9,80,O,80313,.,.,.,1
FRACNP,90,1867,1867,10,80,O,80690,.,.,.,1
FRACNP,90,1867,1867,11,80,O,81372,.,.,.,1
FRACNP,90,1867,1867,12,80,O,81111,.,.,.,1
FRACNP,90,1867,1867,TOT,80,O,1008735,.,.,.,1
FRACNP,90,1868,1868,1,80,O,84620,.,.,.,1
