Country,COD,Sex,Year,TimeIntv,x,n,Area,Censored,Dl,Du,Nx,Pop1Jan,Pop31Dec,ExpL,ExpU,Mx,mx,qx,ax,lx,dx,Lx,Tx,ex,Date
HKG,AllCauses,1,1986,1,0,1,1, ,252.95,41.66,36917,40752.14,38650,18781.7750582658,21135.5016501247,0.0073805135092814,0.0070262789763844,0.00698381307399725,0.134589099608206,1e+05,698.381307399725,99395.6132039464,7972856.66744393,79.7285666744393,2018-12-17
HKG,AllCauses,1,1986,1,1,1,1, ,10.48,9.56,40710.48,42666.37,40700,19585.7228044336,22273.0559262851,0.00047875262030264,0.000647772220406878,0.00064756248391285,0.5,99301.6186926003,64.3040028571469,99269.4666911717,7873461.05423998,79.2883455265034,2018-12-17
HKG,AllCauses,1,1986,1,2,1,1, ,6.81,6.21,42656.81,44415.75,42650,20384.7928450214,23023.6626174013,0.000299941563488039,0.000372879861495766,0.000372810354759043,0.5,99237.3146897431,36.9966984948179,99218.8163404957,7774191.58754881,78.3393989635264,2018-12-17
HKG,AllCauses,1,1986,1,3,1,1, ,9.54,8.49,44409.54,45713.31,44400,21384.8601151505,23776.8772800978,0.000399231762104374,0.000308002122174428,0.00030795469682435,0.5,99200.3179912483,30.549203851874,99185.0433893224,7674972.77120831,77.3684291202113,2018-12-17
HKG,AllCauses,1,1986,1,4,1,1, ,4.82,4.2,45704.82,45160.06,45700,21929.2552590702,23619.678732547,0.000198028783761658,0.00023495548631535,0.000234927887517319,0.5,99169.7687873964,23.297744286804,99158.119915253,7575787.72781899,76.3921084061437,2018-12-17
HKG,AllCauses,1,1986,1,5,1,1, ,5.86,5.16,45155.86,43761.07,45150,21535.7056097807,22800.0441188329,0.000248557880885182,0.000169534652515887,0.000169520282734773,0.5,99146.4710431096,16.8073378033829,99138.067374208,7476629.60790374,75.4099417684049,2018-12-17
HKG,AllCauses,1,1986,1,6,1,1, ,5.91,5.11,43755.91,43308.84,43750,20955.6932552491,22518.5354467041,0.000253483508023798,0.000148704306674635,0.000148693251011236,0.5,99129.6637053063,14.7399119679925,99122.2937493223,7377491.54052953,74.4226426759745,2018-12-17
HKG,AllCauses,1,1986,1,7,1,1, ,3.73,3.28,43303.73,43255.94,43300,20785.7137937174,22775.1212864397,0.000160924371332661,0.000198440703862635,0.000198421016459551,0.5,99114.9237933383,19.6664839253852,99105.0905513756,7278369.24678021,73.4336361086866,2018-12-17
HKG,AllCauses,1,1986,1,8,1,1, ,2.66,2.35,43252.66,43606.08,43250,20477.7978048597,22547.6405087268,0.000116442741698182,0.000176192225640065,0.000176176705157171,0.5,99095.2573094129,17.4582759294745,99086.5281714482,7179264.15622883,72.4481105469301,2018-12-17
HKG,AllCauses,1,1986,1,9,1,1, ,3.73,3.28,43603.73,44258.44,43600,21055.6622742059,23306.4077757508,0.000158017874100689,0.000195841861521771,0.000195822686382056,0.5,99077.7990334834,19.4016807675582,99068.0981930996,7080177.62805738,71.4607883615242,2018-12-17
