PopName,Year,YearInterval,Sex,Age,AgeInterval,qx,ex,SOURCE
KOR,2003,,b,0,,0.00512,77.3,KOSIS
KOR,2003,,b,80,,0.07053,7.6,KOSIS
KOR,2004,,b,0,,0.00468,77.8,KOSIS
KOR,2004,,b,80,,0.06758,7.7,KOSIS
KOR,2005,,b,0,,0.00413,78.2,KOSIS
KOR,2005,,b,80,,0.06575,7.8,KOSIS
KOR,2006,,b,0,,0.00383,78.8,KOSIS
KOR,2006,,b,80,,0.06319,7.9,KOSIS
KOR,2007,,b,0,,0.00350,79.2,KOSIS
KOR,2007,,b,80,,0.06115,8.1,KOSIS
KOR,2008,,b,0,,0.00336,79.6,KOSIS
KOR,2008,,b,80,,0.05891,8.3,KOSIS
KOR,2009,,b,0,,0.00315,80,KOSIS
KOR,2009,,b,80,,0.05501,8.6,KOSIS
KOR,2010,,b,0,,0.00323,80.2,KOSIS
KOR,2010,,b,80,,0.05479,8.6,KOSIS
KOR,2011,,b,0,,0.00305,80.6,KOSIS
KOR,2011,,b,80,,0.05181,8.6,KOSIS
KOR,2012,,b,0,,0.00291,80.9,KOSIS
KOR,2012,,b,80,,0.05250,8.7,KOSIS
KOR,2013,,b,0,,0.00294,81.4,KOSIS
KOR,2013,,b,80,,0.04951,9,KOSIS
KOR,2014,,b,0,,0.00300,81.8,KOSIS
KOR,2014,,b,80,,0.04762,9.1,KOSIS
KOR,2015,,b,0,,0.00272,82.1,KOSIS
KOR,2015,,b,80,,0.04638,9.2,KOSIS
KOR,2016,,b,0,,0.00281,82.4,KOSIS
KOR,2016,,b,80,,0.04506,9.3,KOSIS
KOR,2017,,b,0,,0.00274,82.7,KOSIS
KOR,2017,,b,80,,0.04311,9.3,KOSIS
KOR,2018,,b,0,,0.00281,82.7,KOSIS
KOR,2018,,b,80,,0.04263,9.3,KOSIS
KOR,2019,,b,0,,0.00268,83.3,KOSIS
KOR,2019,,b,80,,0.03940,9.7,KOSIS
KOR,2020,,b,0,,0.00243,83.5,KOSIS
KOR,2020,,b,80,,0.03858,9.8,KOSIS
KOR,1950,5,f,0,1,0.14842,47.27,UN
KOR,1950,5,f,80,5,0.62858,4.54,UN
KOR,1955,5,f,0,1,0.08948,57.349998,UN
KOR,1955,5,f,80,5,0.62358,4.5599999,UN
KOR,1960,5,f,0,1,0.06823,60.509998,UN
KOR,1960,5,f,80,5,0.59574,4.8099999,UN
KOR,1965,5,f,0,1,0.05226,63.290001,UN
KOR,1965,5,f,80,5,0.57150,5.04,UN
KOR,1970,5,f,0,1,0.03833,67.029999,UN
KOR,1970,5,f,80,5,0.44675,6.48,UN
KOR,1975,5,f,0,1,0.03322,69.260002,UN
KOR,1975,5,f,80,5,0.42740,6.77,UN
KOR,1980,5,f,0,1,0.02492,71.75,UN
KOR,1980,5,f,80,5,0.40381,7.1599998,UN
KOR,1985,5,f,0,1,0.01501,74.559998,UN
KOR,1985,5,f,80,5,0.40033,7.1199999,UN
KOR,1990,5,f,0,1,0.00958,77.019997,UN
KOR,1990,5,f,80,5,0.36340,7.71,UN
KOR,1995,5,f,0,1,0.00665,78.790001,UN
KOR,1995,5,f,80,5,0.35048,7.8400002,UN
KOR,2000,5,f,0,1,0.00471,80.589996,UN
KOR,2000,5,f,80,5,0.32821,8.0500002,UN
KOR,2003,,f,0,,0.00455,80.8,KOSIS
KOR,2003,,f,80,,0.05884,8.2,KOSIS
KOR,2004,,f,0,,0.00441,81.2,KOSIS
