PopName,Area,Year,YearReg,Month,Births,Access,NoteCode1,NoteCode2,NoteCode3,RefCode,LDB
NZL_NP,10,1980,1980,1,4185,O,.,.,.,23,1
NZL_NP,10,1980,1980,2,3921,O,.,.,.,23,1
NZL_NP,10,1980,1980,3,4155,O,.,.,.,23,1
NZL_NP,10,1980,1980,4,4059,O,.,.,.,23,1
NZL_NP,10,1980,1980,5,4257,O,.,.,.,23,1
NZL_NP,10,1980,1980,6,4077,O,.,.,.,23,1
NZL_NP,10,1980,1980,7,4287,O,.,.,.,23,1
NZL_NP,10,1980,1980,8,4278,O,.,.,.,23,1
NZL_NP,10,1980,1980,9,4485,O,.,.,.,23,1
NZL_NP,10,1980,1980,10,4494,O,.,.,.,23,1
NZL_NP,10,1980,1980,11,4122,O,.,.,.,23,1
NZL_NP,10,1980,1980,12,4446,O,.,.,.,23,1
NZL_NP,10,1980,1980,TOT,50766,O,18,.,.,23,1
NZL_NP,10,1981,1981,1,4272,O,.,.,.,23,1
NZL_NP,10,1981,1981,2,3993,O,.,.,.,23,1
NZL_NP,10,1981,1981,3,4368,O,.,.,.,23,1
NZL_NP,10,1981,1981,4,4182,O,.,.,.,23,1
NZL_NP,10,1981,1981,5,4128,O,.,.,.,23,1
NZL_NP,10,1981,1981,6,3969,O,.,.,.,23,1
NZL_NP,10,1981,1981,7,4326,O,.,.,.,23,1
NZL_NP,10,1981,1981,8,4395,O,.,.,.,23,1
NZL_NP,10,1981,1981,9,4410,O,.,.,.,23,1
NZL_NP,10,1981,1981,10,4305,O,.,.,.,23,1
NZL_NP,10,1981,1981,11,3939,O,.,.,.,23,1
NZL_NP,10,1981,1981,12,4101,O,.,.,.,23,1
NZL_NP,10,1981,1981,TOT,50388,O,18,.,.,23,1
NZL_NP,10,1982,1982,1,4065,O,.,.,.,23,1
NZL_NP,10,1982,1982,2,3837,O,.,.,.,23,1
NZL_NP,10,1982,1982,3,4203,O,.,.,.,23,1
NZL_NP,10,1982,1982,4,4050,O,.,.,.,23,1
NZL_NP,10,1982,1982,5,4050,O,.,.,.,23,1
NZL_NP,10,1982,1982,6,3975,O,.,.,.,23,1
NZL_NP,10,1982,1982,7,4200,O,.,.,.,23,1
NZL_NP,10,1982,1982,8,4293,O,.,.,.,23,1
NZL_NP,10,1982,1982,9,4368,O,.,.,.,23,1
NZL_NP,10,1982,1982,10,4491,O,.,.,.,23,1
NZL_NP,10,1982,1982,11,4245,O,.,.,.,23,1
NZL_NP,10,1982,1982,12,4155,O,.,.,.,23,1
NZL_NP,10,1982,1982,TOT,49932,O,18,.,.,23,1
NZL_NP,10,1983,1983,1,4185,O,.,.,.,23,1
NZL_NP,10,1983,1983,2,3792,O,.,.,.,23,1
NZL_NP,10,1983,1983,3,4323,O,.,.,.,23,1
NZL_NP,10,1983,1983,4,4047,O,.,.,.,23,1
NZL_NP,10,1983,1983,5,4071,O,.,.,.,23,1
NZL_NP,10,1983,1983,6,3975,O,.,.,.,23,1
NZL_NP,10,1983,1983,7,4089,O,.,.,.,23,1
NZL_NP,10,1983,1983,8,4461,O,.,.,.,23,1
NZL_NP,10,1983,1983,9,4623,O,.,.,.,23,1
NZL_NP,10,1983,1983,10,4572,O,.,.,.,23,1
NZL_NP,10,1983,1983,11,4218,O,.,.,.,23,1
NZL_NP,10,1983,1983,12,4320,O,.,.,.,23,1
NZL_NP,10,1983,1983,TOT,50676,O,18,.,.,23,1
NZL_NP,10,1984,1984,1,4218,O,.,.,.,23,1
NZL_NP,10,1984,1984,2,4020,O,.,.,.,23,1
NZL_NP,10,1984,1984,3,4056,O,.,.,.,23,1
NZL_NP,10,1984,1984,4,4011,O,.,.,.,23,1
NZL_NP,10,1984,1984,5,4218,O,.,.,.,23,1
NZL_NP,10,1984,1984,6,4125,O,.,.,.,23,1
NZL_NP,10,1984,1984,7,4290,O,.,.,.,23,1
NZL_NP,10,1984,1984,8,4428,O,.,.,.,23,1
NZL_NP,10,1984,1984,9,4473,O,.,.,.,23,1
NZL_NP,10,1984,1984,10,4779,O,.,.,.,23,1
NZL_NP,10,1984,1984,11,4404,O,.,.,.,23,1
NZL_NP,10,1984,1984,12,4221,O,.,.,.,23,1
NZL_NP,10,1984,1984,TOT,51243,O,18,.,.,23,1
NZL_NP,10,1985,1985,1,4185,O,.,.,.,23,1
NZL_NP,10,1985,1985,2,3990,O,.,.,.,23,1
NZL_NP,10,1985,1985,3,4395,O,.,.,.,23,1
NZL_NP,10,1985,1985,4,4158,O,.,.,.,23,1
NZL_NP,10,1985,1985,5,4365,O,.,.,.,23,1
NZL_NP,10,1985,1985,6,4086,O,.,.,.,23,1
NZL_NP,10,1985,1985,7,4464,O,.,.,.,23,1
NZL_NP,10,1985,1985,8,4542,O,.,.,.,23,1
NZL_NP,10,1985,1985,9,4488,O,.,.,.,23,1
NZL_NP,10,1985,1985,10,4656,O,.,.,.,23,1
NZL_NP,10,1985,1985,11,4398,O,.,.,.,23,1
NZL_NP,10,1985,1985,12,4446,O,.,.,.,23,1
NZL_NP,10,1985,1985,TOT,52173,O,18,.,.,23,1
NZL_NP,10,1986,1986,1,4278,O,.,.,.,23,1
NZL_NP,10,1986,1986,2,3960,O,.,.,.,23,1
NZL_NP,10,1986,1986,3,4341,O,.,.,.,23,1
