The United States of America, Exposure to risk (cohort 5x5), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1852-1854        0                    .               .               .
1852-1854      1-4                    .               .               .
1852-1854      5-9                    .               .               .
1852-1854     10-14                   .               .               .
1852-1854     15-19                   .               .               .
1852-1854     20-24                   .               .               .
1852-1854     25-29                   .               .               .
1852-1854     30-34                   .               .               .
1852-1854     35-39                   .               .               .
1852-1854     40-44                   .               .               .
1852-1854     45-49                   .               .               .
1852-1854     50-54                   .               .               .
1852-1854     55-59                   .               .               .
1852-1854     60-64                   .               .               .
1852-1854     65-69                   .               .               .
1852-1854     70-74                   .               .               .
1852-1854     75-79                   .               .               .
1852-1854     80-84           990013.58       845931.70      1835945.27
1852-1854     85-89           487576.95       367349.56       854926.51
1852-1854     90-94           160344.35       102384.39       262728.74
1852-1854     95-99            38915.32        21730.95        60646.27
1852-1854    100-104            7244.80         3675.93        10920.72
1852-1854    105-109            1353.02          778.07         2131.10
1852-1854    110+                504.02          254.21          758.23
1855-1859        0                    .               .               .
1855-1859      1-4                    .               .               .
1855-1859      5-9                    .               .               .
1855-1859     10-14                   .               .               .
1855-1859     15-19                   .               .               .
1855-1859     20-24                   .               .               .
1855-1859     25-29                   .               .               .
1855-1859     30-34                   .               .               .
1855-1859     35-39                   .               .               .
1855-1859     40-44                   .               .               .
1855-1859     45-49                   .               .               .
1855-1859     50-54                   .               .               .
1855-1859     55-59                   .               .               .
1855-1859     60-64                   .               .               .
1855-1859     65-69                   .               .               .
1855-1859     70-74                   .               .               .
1855-1859     75-79          2589100.63      2442556.08      5031656.71
1855-1859     80-84          2144742.48      1797400.39      3942142.87
1855-1859     85-89          1006876.69       733086.07      1739962.76
1855-1859     90-94           349748.10       213559.20       563307.30
1855-1859     95-99            84003.11        43257.38       127260.49
1855-1859    100-104           14140.39         6549.29        20689.68
1855-1859    105-109            2328.65         1174.91         3503.56
1855-1859    110+                757.17          358.95         1116.12
1860-1864        0                    .               .               .
1860-1864      1-4                    .               .               .
1860-1864      5-9                    .               .               .
1860-1864     10-14                   .               .               .
1860-1864     15-19                   .               .               .
1860-1864     20-24                   .               .               .
1860-1864     25-29                   .               .               .
1860-1864     30-34                   .               .               .
1860-1864     35-39                   .               .               .
1860-1864     40-44                   .               .               .
1860-1864     45-49                   .               .               .
1860-1864     50-54                   .               .               .
1860-1864     55-59                   .               .               .
1860-1864     60-64                   .               .               .
1860-1864     65-69                   .               .               .
1860-1864     70-74          4074639.84      4019602.43      8094242.27
1860-1864     75-79          3903587.88      3603998.08      7507585.96
1860-1864     80-84          2512922.96      2019916.52      4532839.48
1860-1864     85-89          1243869.59       869729.24      2113598.83
1860-1864     90-94           461293.21       271847.15       733140.36
1860-1864     95-99           112658.53        55631.32       168289.85
1860-1864    100-104           18003.81         8146.02        26149.83
1860-1864    105-109            2816.55         1464.62         4281.16
1860-1864    110+                800.54          440.52         1241.06
1865-1869        0                    .               .               .
