Canada, Life tables (period 5x10), Males	Last modified: 19 Dec 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1921-1929        0      0.12606  0.11583  0.30  100000   11583   91882  5686231  56.86
1921-1929      1-4      0.00866  0.03386  1.38   88417    2994  345813  5594348  63.27
1921-1929      5-9      0.00269  0.01336  2.27   85423    1142  424005  5248536  61.44
1921-1929     10-14     0.00209  0.01040  2.52   84282     877  419237  4824531  57.24
1921-1929     15-19     0.00299  0.01482  2.67   83405    1236  414144  4405293  52.82
1921-1929     20-24     0.00369  0.01829  2.51   82169    1503  407098  3991149  48.57
1921-1929     25-29     0.00383  0.01895  2.51   80666    1528  399530  3584052  44.43
1921-1929     30-34     0.00382  0.01894  2.50   79137    1499  391939  3184522  40.24
1921-1929     35-39     0.00470  0.02324  2.53   77639    1804  383731  2792583  35.97
1921-1929     40-44     0.00587  0.02892  2.50   75835    2193  373689  2408852  31.76
1921-1929     45-49     0.00755  0.03706  2.57   73641    2729  361575  2035163  27.64
1921-1929     50-54     0.01040  0.05072  2.61   70912    3597  345948  1673588  23.60
1921-1929     55-59     0.01594  0.07678  2.60   67316    5169  324180  1327640  19.72
1921-1929     60-64     0.02354  0.11143  2.61   62147    6925  294197  1003460  16.15
1921-1929     65-69     0.03810  0.17445  2.58   55222    9634  252840   709262  12.84
1921-1929     70-74     0.05880  0.25733  2.58   45589   11731  199525   456422  10.01
1921-1929     75-79     0.09480  0.38221  2.47   33857   12940  136505   256898   7.59
1921-1929     80-84     0.13839  0.50979  2.42   20917   10663   77051   120393   5.76
1921-1929     85-89     0.21433  0.66800  2.18   10254    6849   31957    43342   4.23
1921-1929     90-94     0.27683  0.75938  2.03    3404    2585    9338    11385   3.34
1921-1929     95-99     0.38824  0.87189  1.84     819     714    1840     2047   2.50
1921-1929    100-104    0.49894  0.93049  1.63     105      98     196      208   1.98
1921-1929    105-109    0.61029  0.96258  1.44       7       7      12       12   1.63
1921-1929    110+       0.69734  1.00000  1.43       0       0       0        0   1.43
1930-1939        0      0.09297  0.08728  0.30  100000    8728   93883  6062117  60.62
1930-1939      1-4      0.00595  0.02345  1.41   91272    2140  359537  5968234  65.39
1930-1939      5-9      0.00196  0.00975  2.30   89132     869  443314  5608697  62.93
1930-1939     10-14     0.00146  0.00729  2.55   88263     643  439740  5165383  58.52
1930-1939     15-19     0.00219  0.01090  2.67   87619     955  435871  4725643  53.93
1930-1939     20-24     0.00279  0.01385  2.53   86665    1200  430365  4289772  49.50
1930-1939     25-29     0.00296  0.01471  2.54   85465    1257  424227  3859407  45.16
